name,type,latitude,longitude
EDCO Collaborative - EDCO YOUTH ALT,nonpublic_school,42.349346445188196,-71.09573938001613
Academy Of the Pacific Rim Charter Public School,nonpublic_school,42.24427045976492,-71.13213194313708
Boston Collegiate Charter School (Middle and High School),nonpublic_school,42.32163975416062,-71.06087154979001
Boston Preparatory Charter Public School,nonpublic_school,42.254807094976414,-71.12373837105062
Boston Renaissance Charter Public School,nonpublic_school,42.25037633508277,-71.12682235376815
Codman Academy Charter Public School,nonpublic_school,42.289448323888486,-71.07193118397119
Conservatory Lab Charter School - Brighton,nonpublic_school,42.34885965408775,-71.15176139495082
Edward Brooke Charter School - Roslindale,nonpublic_school,42.281698595047104,-71.1220041750056
Excel Academy Charter School - East Boston,nonpublic_school,42.38279299326808,-71.01867085360482
MATCH Charter Public High School,nonpublic_school,42.35215801634913,-71.12098465017101
Neighborhood House Charter School,nonpublic_school,42.29334426160754,-71.05347197033385
Cathedral High,nonpublic_school,42.34111018463159,-71.06884782754541
The Advent School,nonpublic_school,42.35835596719613,-71.07204551108894
St John Elementary,nonpublic_school,42.36388729104435,-71.0528619749265
Berea SDA Academy,nonpublic_school,42.282657210298964,-71.08771498626551
Pope John Paul II Academy (Lower MIlls),nonpublic_school,42.27444063554889,-71.06717431243052
